Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,62:34:00,19,Jayed,Pass,35,61,38,71,,Complete,,,,,,,
Minerva FC,62:36:00,2,Ngashepam Reoson Singh,Pass,42,71,74,62,,Complete,,,,,,,
Minerva FC,62:37:00,22,Paoginmang Baite,Offensive Duel,73,61,0,0,,Won,,,,,TRUE,,
Minerva FC,62:41:00,9,Raj Singh Wahengbam,Offensive Duel,86,52,0,0,,Won,,,,,TRUE,,
Minerva FC,62:49:00,50,Thangkhanlam Samte,Pass,83,35,74,25,,Complete,,,,,,,
Minerva FC,62:52:00,22,Paoginmang Baite,Pass,78,23,66,8,,Complete,,,,,,,
Minerva FC,62:56:00,3,Moosa Ashiq,Long Kick,67,17,112,50,,Incomplete,,,TRUE,,,,
Minerva FC,63:10:00,4,Sailex Oinam,Head Pass,15,47,4,67,,,,,,TRUE,,,
Minerva FC,63:13:00,2,Ngashepam Reoson Singh,Long Kick,6,70,36,46,,,,,,TRUE,,,
Minerva FC,63:18:00,5,Rokash Atom,Long Kick,32,37,71,19,,Incomplete,,,,,,,
Minerva FC,63:23:00,50,Thangkhanlam Samte,Air Duel,74,26,0,0,,Won,,,,,,,
Minerva FC,63:28:00,4,Sailex Oinam,Head Pass,37,31,48,53,,Incomplete,,,,,,,
Minerva FC,63:33:00,4,Sailex Oinam,LBD,37,58,0,0,,Lost,,,,,,,
Minerva FC,63:35:00,2,Ngashepam Reoson Singh,Pass,34,60,44,52,,Complete,,,,,,,
Minerva FC,63:37:00,50,Thangkhanlam Samte,Pass,40,54,51,70,,Complete,,,,,,,
Minerva FC,63:40:00,2,Ngashepam Reoson Singh,Pass,43,64,86,77,,Complete,,,,,,,
Minerva FC,63:46:00,8,Ahvas K,Pass,89,67,84,59,,Incomplete,,,,,,,
Minerva FC,63:52:00,50,Thangkhanlam Samte,Pass,49,65,11,56,,Complete,,,,,,,
Minerva FC,63:59:00,1,Khwairakpam Yoihenba,Long Kick,14,57,43,73,,Complete,,,,,,,
Minerva FC,64:00:00,2,Ngashepam Reoson Singh,Touch,45,73,0,0,,Bad,,,,,,,
Minerva FC,64:03:00,19,Jayed,Defensive Duel,52,67,0,0,,Lost,,,,,,,
Minerva FC,64:04:00,19,Jayed,Defensive Duel,55,64,0,0,,Lost,,,,,,,
Minerva FC,64:14:00,1,Khwairakpam Yoihenba,Hand Pass,11,41,15,21,,Complete,,,,,,,
Minerva FC,64:17:00,3,Moosa Ashiq,Pass,10,26,34,5,,Complete,,,,,,,
Minerva FC,64:38:00,5,Rokash Atom,Throw In,70,1,92,6,,,,,,,,,
Minerva FC,65:05:00,9,Raj Singh Wahengbam,Pressure,91,30,0,0,,,,,,,,,
Minerva FC,65:07:00,8,Ahvas K,Pressure,91,74,0,0,,,,,,,,,
Minerva FC,65:14:00,3,Moosa Ashiq,Head Pass,36,44,36,33,,Complete,,,,,,,
Minerva FC,65:16:00,22,Paoginmang Baite,Long Kick,37,27,72,13,,Incomplete,,,,,,,
Minerva FC,65:25:00,9,Raj Singh Wahengbam,Pressure,78,51,0,0,,,,,,,,,
Minerva FC,65:27:00,4,Sailex Oinam,Interception,45,55,0,0,,,,,,,,,
Minerva FC,65:30:00,4,Sailex Oinam,Pass,43,56,81,63,,Complete,,,,,,,
Minerva FC,65:33:00,19,Jayed,Pass,78,60,85,42,,Incomplete,,,,,,,
Minerva FC,65:42:00,4,Sailex Oinam,Head Pass,41,47,50,12,,Complete,,,,,,,
Minerva FC,65:46:00,5,Rokash Atom,Offensive Duel,51,14,0,0,,Won,,,,,TRUE,,
Minerva FC,65:48:00,5,Rokash Atom,Pass,65,9,93,9,,Complete,,,,,,,
Minerva FC,66:06:00,5,Rokash Atom,Throw In,94,3,110,8,,,,,,,,,
Minerva FC,66:09:00,7,Lairenjam Sanathoi Meitei,Pass,111,12,98,8,,Complete,,,,,,,
Minerva FC,66:11:00,5,Rokash Atom,Cross,98,6,107,43,Left,,,,,,,,
Minerva FC,66:21:00,8,Ahvas K,Cross,114,65,114,62,Right,Blocked,,,,,,,
Minerva FC,67:06:00,8,Ahvas K,Corner,117,77,106,38,,,,,,,,,
Minerva FC,67:41:00,5,Rokash Atom,Throw In,96,1,96,13,,,,,,,,,
Minerva FC,67:44:00,7,Lairenjam Sanathoi Meitei,Cross,109,12,108,38,Left,,,,,,,,
Minerva FC,68:05:00,2,Ngashepam Reoson Singh,Defensive Duel,39,71,0,0,,Lost,,,,,,,
Minerva FC,69:04:00,7,Lairenjam Sanathoi Meitei,Subbed Out,59,1,0,0,,,,,,,,,
Minerva FC,70:09:00,3,Moosa Ashiq,Carry,31,49,15,75,,,,,,,,,
Minerva FC,70:12:00,3,Moosa Ashiq,LBD,19,75,0,0,,Lost,,,,,,,
Minerva FC,70:33:00,44,Muhammed Ziyad K,Defensive Duel,66,69,0,0,,Lost,,,,,TRUE,,
Minerva FC,70:35:00,2,Ngashepam Reoson Singh,Pass,35,70,68,69,,Complete,,,,,,,
Minerva FC,71:02:00,5,Rokash Atom,Throw In,44,0,78,8,,,,,,,,,
Minerva FC,71:04:00,22,Paoginmang Baite,LBD,72,6,0,0,,Lost,,,,,,,
Minerva FC,71:10:00,1,Khwairakpam Yoihenba,Long Kick,31,33,84,12,,,,,,TRUE,,,
Minerva FC,71:38:00,3,Moosa Ashiq,Defensive Duel,8,10,0,0,,Lost,,,,,,,
Minerva FC,71:56:00,1,Khwairakpam Yoihenba,Goal Kick,6,43,8,31,,,,,,,,,
Minerva FC,71:59:00,3,Moosa Ashiq,Long Kick,9,31,37,7,,Complete,,,,,,,
Minerva FC,72:04:00,50,Thangkhanlam Samte,Long Kick,34,23,79,8,,Incomplete,,,,,,,
Minerva FC,72:33:00,3,Moosa Ashiq,Head Pass,38,13,51,21,,Incomplete,,,,,,,
Minerva FC,72:33:00,22,Paoginmang Baite,Air Duel,47,28,0,0,,Won,,,,,,,
Minerva FC,72:35:00,44,Muhammed Ziyad K,Offensive Duel,53,20,0,0,,Won,,,,,TRUE,,
Minerva FC,72:37:00,50,Thangkhanlam Samte,Long Kick,46,16,106,50,,Incomplete,,,TRUE,,,,
Minerva FC,72:51:00,4,Sailex Oinam,Head Pass,30,57,39,50,,Complete,,,,,,,
Minerva FC,72:55:00,50,Thangkhanlam Samte,Pass,47,42,78,35,,Complete,,,,,,,
Minerva FC,72:58:00,9,Raj Singh Wahengbam,Pass,75,45,75,10,,Incomplete,,,,,,,
Minerva FC,73:00:00,22,Paoginmang Baite,Head Pass,54,10,77,28,,Incomplete,,,,,,,
Minerva FC,73:06:00,19,Jayed,Offensive Duel,76,42,0,0,,Lost,,,,,,,
