Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,38:56,11,Khangembem Gibash Meitei,Pass,80.0,64.0,82,38,,Complete,,,,,,,
Minerva FC,39:01,22,Paoginmang Baite,Offensive Duel,90.0,26.0,0,0,,Won,,,,,True,,
Minerva FC,39:02,22,Paoginmang Baite,Shot,92.0,25.0,119,35,Left,Off Target,,,,,,,
Minerva FC,39:21,19,Jayed,Interception,90.0,60.0,0,0,,,,,,,,,
Minerva FC,39:22,19,Jayed,Shot,96.0,52.0,120,34,Right,Off Target,,,,,,,
Minerva FC,39:43,50,Thangkhanlam Samte,Head Pass,56.0,45.0,83,30,,Complete,,,,,,,
Minerva FC,39:46,7,Lairenjam Sanathoi Meitei,Air Duel,81.0,31.0,0,0,,Lost,,,,,,,
Minerva FC,39:48,7,Lairenjam Sanathoi Meitei,Foul,82.0,29.0,0,0,,,,,,,,,
Minerva FC,40:02,5,Rokash Atom,Pressure,69.0,10.0,0,0,,,,,,,,,
Minerva FC,40:04,22,Paoginmang Baite,Defensive Duel,38.0,9.0,0,0,,Lost,,,,,,,
Minerva FC,40:09,9,Raj Singh Wahengbam ,Defensive Duel,56.0,21.0,0,0,,Won,,,,,,,
Minerva FC,40:09,9,Raj Singh Wahengbam ,Carry,55.0,21.0,82,38,,,,,,,,,
Minerva FC,40:14,9,Raj Singh Wahengbam ,Pass,80.0,36.0,83,20,,Complete,,,,,,,
Minerva FC,40:16,7,Lairenjam Sanathoi Meitei,Pass,92.0,23.0,85,52,,Complete,,,,,,,
Minerva FC,40:18,19,Jayed,Pass,86.0,48.0,71,54,,Complete,,,,,,,
Minerva FC,40:21,2,Ngashepam Reoson Singh,Pass,73.0,50.0,91,75,,Complete,,,,,,,
Minerva FC,40:28,11,Khangembem Gibash Meitei,Pass,100.0,70.0,88,54,,Complete,,,,,,,
Minerva FC,40:30,19,Jayed,Pass,88.0,57.0,83,75,,Complete,,,,,,,
Minerva FC,40:35,2,Ngashepam Reoson Singh,Pass,84.0,75.0,86,58,,Complete,,,,,,,
Minerva FC,40:38,19,Jayed,Pass,87.0,66.0,59,71,,Complete,,,,,,,
Minerva FC,40:41,4,Sailex Oinam ,Pass,55.0,72.0,27,43,,Complete,,,,,,,
Minerva FC,40:45,1,Khwairakpam Yoihenba,Pass,28.0,44.0,39,23,,Complete,,,,,,,
Minerva FC,40:48,3,Moosa Ashiq,Pass,33.0,28.0,72,18,,Complete,,,,,,,
Minerva FC,40:53,22,Paoginmang Baite,Pass,73.0,22.0,84,34,,Complete,,,,,,,
Minerva FC,40:54,9,Raj Singh Wahengbam ,Pass,84.0,31.0,58,65,,Complete,,,,,,,
Minerva FC,41:00,2,Ngashepam Reoson Singh,Pass,55.0,67.0,42,57,,Complete,,,,,,,
Minerva FC,41:04,4,Sailex Oinam ,Long Kick,43.0,57.0,80,57,,Complete,,,,,,,
Minerva FC,41:06,19,Jayed,Pass,81.0,63.0,68,51,,Complete,,,,,,,
Minerva FC,41:07,2,Ngashepam Reoson Singh,Offensive Duel,72.0,50.0,0,0,,Lost,,,,,True,,
Minerva FC,41:27,5,Rokash Atom,Throw In,22.0,1.0,37,5,,,,,,,,,
Minerva FC,41:29,7,Lairenjam Sanathoi Meitei,Offensive Duel,37.0,6.0,0,0,,Won,,,,,True,,
Minerva FC,41:32,7,Lairenjam Sanathoi Meitei,Pass,52.0,9.0,71,23,,Complete,,,,,,,
Minerva FC,41:34,9,Raj Singh Wahengbam ,Pass,72.0,17.0,76,45,,Complete,,,,,,,
Minerva FC,41:37,19,Jayed,Pass,72.0,38.0,84,65,,Complete,,,,,,,
Minerva FC,41:44,11,Khangembem Gibash Meitei,Cross,104.0,59.0,104,51,Right,Blocked,,,,,,,
Minerva FC,41:52,11,Khangembem Gibash Meitei,Pass,84.0,76.0,94,67,,Complete,,,,,,,
Minerva FC,41:53,19,Jayed,Pass,91.0,64.0,76,71,,Complete,,,,,,,
Minerva FC,41:57,2,Ngashepam Reoson Singh,Pass,85.0,73.0,59,66,,Complete,,,,,,,
Minerva FC,42:00,4,Sailex Oinam ,Pass,56.0,67.0,45,27,,Complete,,,,,,,
Minerva FC,42:07,3,Moosa Ashiq,Pass,70.0,23.0,91,4,,Complete,,,,,,,
Minerva FC,42:11,7,Lairenjam Sanathoi Meitei,Offensive Duel,104.0,5.0,0,0,,Lost,,,,,,,
Minerva FC,42:36,5,Rokash Atom,Pass,90.0,5.0,89,13,,Complete,,,,,,,
Minerva FC,42:39,22,Paoginmang Baite,Offensive Duel,92.0,10.0,0,0,,Won,,,,,True,,
Minerva FC,43:07,5,Rokash Atom,Corner,116.0,3.0,96,10,,,,,,,,,
Minerva FC,43:10,50,Thangkhanlam Samte,Pass,93.0,12.0,106,12,,Complete,,,,,,,
Minerva FC,43:14,5,Rokash Atom,Cross,113.0,10.0,104,31,Left,,,,,,,,
Minerva FC,43:19,50,Thangkhanlam Samte,Pass,86.0,20.0,92,10,,Complete,,,,,,,
Minerva FC,43:21,5,Rokash Atom,Pass,94.0,9.0,91,21,,Complete,,,,,,,
Minerva FC,43:23,22,Paoginmang Baite,Pass,89.0,20.0,97,20,,Incomplete,,,,,,,
Minerva FC,43:24,9,Raj Singh Wahengbam ,Interception,97.0,22.0,0,0,,,,,,,,,
