Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,13:21,7,Locker,Cross,111,13,112,26,Left,Blocked,,,,,,,,
Andover New Street,13:36,7,Locker,Throw In,106,1,87,8,,Complete,,,,,,,,
Andover New Street,13:39,3,Quashie,Pass,87,7,88,27,,Complete,,,,,,,,
Andover New Street,13:39,6,Thatcher,Pass,87,21,100,12,,Complete,,,,,,,,
Andover New Street,13:42,3,Quashie,Pass,107,16,101,28,,Complete,,,,,,,,
Andover New Street,13:44,10,Hibberd,Shot,100,27,117,41,Right,Saved,,,,,,,60,75
Andover New Street,13:53,4,Carswell,Interception,62,66,0,0,,,,,,,,,,
Andover New Street,13:54,4,Carswell,Carry,62,63,86,53,,Complete,,,,,,,,
Andover New Street,14:00,4,Carswell,Pass,86,49,83,72,,Complete,,,,,,,,
Andover New Street,14:03,11,Taylor Kelly,Pass,83,71,73,61,,Complete,,,,,,,,
Andover New Street,14:05,6,Thatcher,Pass,71,60,96,63,,Incomplete,,,,,,,,
Andover New Street,14:28,5,Scott,Air Duel,35,57,0,0,,Won,,,,,,,,
Andover New Street,14:31,8,Williams,Air Duel,68,69,0,0,,Won,,,,,,,,
Andover New Street,14:37,9,Moore,Pass,81,68,70,75,,Complete,,,,,,,,
Andover New Street,14:42,11,Taylor Kelly,Pass,73,73,66,55,,Complete,,,,,,,,
Andover New Street,14:45,4,Carswell,Pass,63,64,39,57,,Complete,,,,,,,,
Andover New Street,14:47,5,Scott,Pass,42,60,52,40,,Complete,,,,,,,,
Andover New Street,14:52,3,Quashie,Pass,50,28,56,40,,Complete,,,,,,,,
Andover New Street,14:54,4,Carswell,Pass,55,43,64,65,,Complete,,,,,,,,
Andover New Street,14:56,2,Kaba,Carry,63,65,87,63,,Complete,,,,,,,,
Andover New Street,15:01,2,Kaba,Pass,85,64,91,73,,Complete,,,,,,,,
Andover New Street,15:02,11,Taylor Kelly,Cross,88,75,105,48,Right,,,,,,,,,
Andover New Street,15:07,5,Scott,Interception,64,45,0,0,,Bad,,,,,,,,
Andover New Street,15:08,5,Scott,Foul,65,46,0,0,,,,,,,,true,,
Andover New Street,15:34,7,Locker,Pressure,45,5,0,0,,,,,,,,,,
Andover New Street,15:40,4,Carswell,Defensive Duel,13,23,0,0,,,,,,,,,,
Andover New Street,15:41,7,Locker,Defensive Duel,10,23,0,0,,,,,,,,,,
Andover New Street,15:42,7,Locker,Pass,9,23,18,7,,Complete,,,,,,,,
Andover New Street,15:45,3,Quashie,Pass,16,10,37,23,,Complete,,,,,,,,
Andover New Street,15:47,6,Thatcher,Carry,32,26,57,22,,Complete,,,,,,,,
Andover New Street,15:50,6,Thatcher,Pass,57,26,69,20,,Incomplete,,,,,,,,
Andover New Street,16:09,5,Scott,Defensive Duel,11,31,0,0,,Lost,,,,,,,,
Andover New Street,16:11,1,Fredricks,Save,6,39,0,0,Middle,Saved,,,,,,,72,43
Andover New Street,17:14,1,Fredricks,Goal Kick,5,38,75,27,,,,,,,,,,
Andover New Street,17:17,10,Hibberd,Air Duel,78,29,0,0,,Lost,,,,,,,,
Andover New Street,17:20,4,Carswell,Defensive Duel,54,26,0,0,,Won,,,,,,,,
Andover New Street,17:21,6,Thatcher,Offensive Duel,63,28,0,0,,Won,,,,,,,,
Andover New Street,17:39,5,Scott,Free Kick,51,35,102,29,,,,,,,,,,
Andover New Street,17:51,3,Quashie,LBD,35,23,0,0,,,,,,,,,,
Andover New Street,17:52,3,Quashie,Head Pass,29,21,29,1,,,,,,true,,,,
Andover New Street,18:19,5,Scott,Air Duel,7,32,0,0,,Won,,,,true,,,,
Andover New Street,18:45,1,Fredricks,Air Duel,7,41,0,0,,Won,,,,true,,,,
Andover New Street,19:14,3,Quashie,Interception,7,39,0,0,,,,,,,,,,
Andover New Street,19:53,1,Fredricks,Goal Kick,7,34,75,35,,,,,,,,,,
Andover New Street,19:57,8,Williams,Air Duel,75,38,0,0,,Won,,,,,,,,
Andover New Street,19:58,9,Moore,Touch,87,41,0,0,,,,,,,,,,
Andover New Street,20:00,9,Moore,Shot,101,44,111,38,Right,Saved,,,,,,,36,73
Andover New Street,20:12,10,Hibberd,Pressure,89,8,0,0,,,,,,,,,,
Andover New Street,20:14,10,Hibberd,Interception,89,7,0,0,,,,,,,,,,
Andover New Street,20:29,7,Locker,Air Duel,36,9,0,0,,Lost,,,,,,,,
Andover New Street,20:30,5,Scott,Air Duel,26,17,0,0,,Lost,,,,,,,,
Andover New Street,20:33,1,Fredricks,Touch,6,25,0,0,,,,,,,,,,
Andover New Street,20:45,1,Fredricks,Long Kick,7,42,73,60,,,,,,,,,,
Andover New Street,20:48,9,Moore,Air Duel,72,57,0,0,,Won,,,,,,,,
