Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,99:03,2,Kaba,Throw In,103,79,101,65,,Complete,,,,,,,,
Andover New Street,99:04,10,Hibberd,Pass,102,65,104,75,,Complete,,,,,,,,
Andover New Street,99:06,2,Kaba,Offensive Duel,103,74,0,0,,Won,,,,,true,,,
Andover New Street,99:56,7,Locker,Free Kick,104,70,113,35,,,true,,,,,,,
Andover New Street,99:58,8,Williams,Shot,112,42,118,33,Header,Off Target,,,,,,,5,44
Andover New Street,100:18,3,Quashie,Pass,45,28,63,34,,Complete,,,,,,,,
Andover New Street,100:25,8,Williams,Offensive Duel,68,40,0,0,,,,,,,,,,
Andover New Street,100:55,3,Quashie,Free Kick,66,39,89,21,,,,,,,,,,
Andover New Street,101:00,15,.,Long Kick,63,44,99,34,,,,,true,,,,,
Andover New Street,101:10,3,Quashie,Defensive Duel,42,32,0,0,,,,,,,,,,
Andover New Street,101:12,6,Thatcher,Pass,46,36,87,28,,Incomplete,,,,,,,,
Andover New Street,101:30,4,Carswell,Interception,16,50,0,0,,,,,,,,,,
Andover New Street,101:33,4,Carswell,Offensive Duel,11,66,0,0,,,,,,,,,,
Andover New Street,101:35,4,Carswell,Long Kick,6,65,26,79,,,,,,true,,,,
Andover New Street,101:48,6,Thatcher,Pass,33,48,56,47,,Complete,,,,,,,,
Andover New Street,101:50,21,..,Carry,60,50,90,28,,Complete,,,,,,,,
Andover New Street,101:53,21,..,Pass,87,33,96,48,,Complete,,,,,,,,
Andover New Street,101:54,10,Hibberd,Shot,95,49,118,46,Left,Off Target,,,,,,,113,77
Andover New Street,102:16,5,Scott,Head Pass,32,48,56,60,,Complete,,,,,,,,
Andover New Street,102:19,10,Hibberd,Offensive Duel,57,63,0,0,,,,,,,,,,
Andover New Street,102:42,15,.,Free Kick,49,62,104,70,,,,,,,,,,
Andover New Street,102:47,2,Kaba,LBD,101,73,0,0,,,,,,,,,,
Andover New Street,102:51,21,..,Pass,107,68,95,75,,Complete,,,,,,,,
Andover New Street,102:52,2,Kaba,Pass,101,75,109,69,,Complete,,,,,,,,
Andover New Street,102:52,21,..,Pass,108,71,97,65,,Complete,,,,,,,,
Andover New Street,102:54,2,Kaba,Touch,101,69,0,0,,Bad,,,,,,,,
Andover New Street,102:59,21,..,Interception,106,70,0,0,,,,,,,,,,
Andover New Street,103:04,6,Thatcher,Pass,86,59,98,51,,Complete,,,,,,,,
Andover New Street,103:07,10,Hibberd,Pass,102,55,113,54,,Complete,,,,,,,,
Andover New Street,103:10,21,..,Pass,113,65,103,48,,Complete,,,,,,,,
Andover New Street,103:11,10,Hibberd,Touch,105,51,0,0,,Bad,,,,,,,,
Andover New Street,103:13,8,Williams,Shot,102,33,110,38,Right,Blocked,,,,,,,,
Andover New Street,103:18,15,.,Long Kick,84,36,110,42,,Incomplete,,,true,,,,,
Andover New Street,103:31,7,Locker,Air Duel,52,12,0,0,,,,,,true,,,,
Andover New Street,103:42,15,.,Head Pass,18,47,44,57,,,,,,true,,,,
Andover New Street,103:42,15,.,Interception,18,49,0,0,,,,,,,,,,
Andover New Street,103:58,7,Locker,Defensive Duel,28,13,0,0,,,,,,,,,,
Andover New Street,104:00,7,Locker,Pass,8,10,12,11,,,,,,,,,,
Andover New Street,104:27,3,Quashie,Throw In,11,2,36,6,,Incomplete,,,,,,,,
Andover New Street,104:30,10,Hibberd,Long Kick,32,12,48,2,,,,,,true,,,,
Andover New Street,104:38,5,Scott,Interception,19,24,0,0,,,,,,,,,,
Andover New Street,104:41,15,.,Pass,17,38,26,33,,Incomplete,,,,,,,,
Andover New Street,105:14,1,Fredricks,Goal Kick,5,38,65,2,,,,,,,,,,
Andover New Street,105:30,5,Scott,Pass,33,23,46,19,,Incomplete,,,,,,,,
Andover New Street,105:38,15,.,Pass,15,46,7,64,,,,,,true,,,,
Andover New Street,105:44,15,.,Long Kick,13,53,1,60,,,,,,true,,,,
Andover New Street,105:42,15,.,Interception,8,57,0,0,,,,,,,,,,
Andover New Street,106:12,15,.,Air Duel,9,44,0,0,,Lost,,,,,,,,
Andover New Street,106:53,1,Fredricks,Goal Kick,7,48,76,71,,,,,,,,,,
Andover New Street,106:56,10,Hibberd,Air Duel,78,68,0,0,,Won,,,,,,,,
Andover New Street,107:39,10,Hibberd,Subbed Out,59,78,0,0,,,,,,,,,,
Andover New Street,107:58,2,Kaba,Pressure,77,72,0,0,,,,,,,,,,
Andover New Street,108:04,15,.,Defensive Duel,22,65,0,0,,Lost,,,,,true,,,
Andover New Street,108:07,15,.,Foul,25,67,0,0,,,,,,,,,,
Andover New Street,108:43,1,Fredricks,Save,6,37,0,0,Left,Saved,,,,,,,100,40
Andover New Street,108:44,6,Thatcher,Long Kick,18,47,24,78,,,,,,true,,,,
Andover New Street,109:06,15,.,Head Pass,10,55,19,73,,,,,,true,,,,
Andover New Street,109:06,15,.,Interception,9,54,0,0,,,,,,,,,,
Andover New Street,109:12,4,Carswell,Air Duel,15,49,0,0,,,,,,true,,,,
Andover New Street,109:15,6,Thatcher,Pass,34,47,40,62,,Incomplete,,,,,,,,
Andover New Street,109:21,8,Williams,Defensive Duel,41,50,0,0,,Lost,,,,,true,,,
Andover New Street,109:23,1,Fredricks,Save,6,41,0,0,Left,Goal,,,,,,,83,50
Andover New Street,110:01,21,..,Pass,59,40,37,41,,Complete,,,,,,,,
Andover New Street,110:04,15,.,Long Kick,37,44,78,13,,Incomplete,,,,,,,,
Andover New Street,110:19,5,Scott,Head Pass,30,37,39,45,,Incomplete,,,,,,,,
Andover New Street,110:48,1,Fredricks,Goal Kick,4,40,74,16,,,,,,,,,,
Andover New Street,110:51,21,..,Air Duel,79,21,0,0,,Lost,,,,,,,,
Andover New Street,110:52,14,...,LBD,62,36,0,0,,,,,,,,,,
Andover New Street,110:54,14,...,Pass,68,34,65,17,,Complete,,,,,,,,
Andover New Street,110:59,4,Carswell,Pass,70,22,83,14,,Complete,,,,,,,,
Andover New Street,111:01,14,...,Pass,73,23,99,11,,Incomplete,,,,,,,,
Andover New Street,111:06,21,..,Defensive Duel,112,9,0,0,,,,,,,,,,
Andover New Street,111:08,21,..,Offensive Duel,113,15,0,0,,,,,,,,,,
Andover New Street,111:54,7,Locker,Free Kick,112,13,112,39,,,,,,,,,,
Andover New Street,111:56,2,Kaba,Pass,112,36,106,43,,Incomplete,,,,,,,,
Andover New Street,112:25,2,Kaba,Throw In,101,79,90,63,,Complete,,,,,,,,
Andover New Street,112:28,4,Carswell,Pass,92,68,108,66,,Complete,,,,,,,,
Andover New Street,112:29,2,Kaba,Cross,108,68,104,37,Right,,,,,,,,,
Andover New Street,112:36,14,...,Offensive Duel,89,62,0,0,,Won,,,,,true,,,
Andover New Street,112:33,4,Carswell,Pass,90,56,86,66,,Complete,,,,,,,,
Andover New Street,112:41,2,Kaba,Pass,102,66,99,46,,Complete,true,,,,,,,
Andover New Street,112:42,21,..,Shot,98,47,118,33,Left,Off Target,,,,,,,5,17
Andover New Street,113:09,21,..,Pressure,88,54,0,0,,,,,,,,,,
Andover New Street,113:11,15,.,Head Pass,32,60,55,73,,Complete,,,,,,,,
Andover New Street,113:18,21,..,Touch,56,77,0,0,,Bad,,,,,,,,
Andover New Street,113:30,8,Williams,Pressure,45,19,0,0,,,,,,,,,,
Andover New Street,113:38,6,Thatcher,Interception,12,24,0,0,,,,,,true,,,,
Andover New Street,114:07,3,Quashie,Air Duel,7,42,0,0,,Won,,,,,,,,
Andover New Street,114:11,3,Quashie,Head Pass,7,45,23,55,,,,,,true,,,,
Andover New Street,114:15,21,..,Defensive Duel,29,60,0,0,,Lost,,,,,true,,,
Andover New Street,114:16,21,..,Foul,30,54,0,0,,,,,,,,,,
Andover New Street,114:58,4,Carswell,Interception,24,53,0,0,,,,,,,,,,
