Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Punjab FC,22:26,18,Naorem Singh,Pass,62,67,91,58,,Complete,,,TRUE,,,,
Punjab FC,22:30,14,Wangkheirakpam Meitei,Offensive Duel,106,55,0,0,,Lost,,,,,,,
Punjab FC,22:41,4,Shubham Poonia,Air Duel,67,25,0,0,,,,,,,,,
Punjab FC,22:57,1,Aadil,Pass,17,33,26,50,,Complete,,,,,,,
Punjab FC,22:59,3,Telem Singh,Long Kick,25,50,69,51,,Complete,,,,,,,
Punjab FC,23:02,9,Gunleiba Wangkheirakpam,LBD,72,50,0,0,,,,,,,,,
Punjab FC,23:25,3,Telem Singh,Free Kick,26,54,26,54,,,,,,,,,
Punjab FC,23:30,11,Thongbam Singh,Offensive Duel,73,50,0,0,,Won,,,,,TRUE,,
Punjab FC,23:32,11,Thongbam Singh,Pass,76,37,103,19,,Complete,,,,,,,
Punjab FC,24:20:00,8,Samuel Hakoip,Air Duel,52,27,0,0,,Lost,,,,,,,
Punjab FC,24:27:00,8,Samuel Hakoip,Pass,50,31,34,50,,Complete,,,,,,,
Punjab FC,24:30:00,3,Telem Singh,Pass,38,53,59,45,,Complete,,,,,,,
Punjab FC,24:33:00,6,Khuraijam Meetei,LBD,57,44,0,0,,,,,,,,,
Punjab FC,24:33:00,6,Khuraijam Meetei,Foul,55,44,0,0,,Yellow Card,,,,,,,
Punjab FC,25:30:00,4,Shubham Poonia,Goal Kick,7,32,7,32,,,,,,,,,
Punjab FC,25:50:00,5,Suraj Murmu,Throw In,50,2,50,2,,,,,,,,,
Punjab FC,26:03:00,4,Shubham Poonia,Long Kick,25,10,47,48,,Incomplete,,,,,,,
Punjab FC,26:08:00,6,Khuraijam Meetei,Pass,42,38,76,59,,Complete,,,,,,,
Punjab FC,26:12:00,11,Thongbam Singh,Pass,85,66,111,58,,Complete,,,,,,,
Punjab FC,26:21:00,9,Gunleiba Wangkheirakpam,Cross,99,68,105,41,Left,,,,,,,,
Punjab FC,26:40:00,18,Naorem Singh,Defensive Duel,11,65,0,0,,Lost,,,,,,,
Punjab FC,26:54:00,1,Aadil,Goal Kick,8,33,8,33,,,,,,,,,
Punjab FC,27:57:00,1,Aadil,Hand Pass,15,46,33,52,,Complete,,,,,,,
Punjab FC,27:59:00,11,Thongbam Singh,Pass,33,58,66,62,,Complete,,,,,,,
Punjab FC,28:02:00,9,Gunleiba Wangkheirakpam,Offensive Duel,69,57,0,0,,Won,,,,,TRUE,,
Punjab FC,28:05:00,9,Gunleiba Wangkheirakpam,Pass,93,65,99,42,,Complete,,,,,,,
Punjab FC,29:20:00,11,Thongbam Singh,Throw In,107,75,107,75,,,,,,,,,
Punjab FC,29:23:00,9,Gunleiba Wangkheirakpam,Pass,98,65,106,75,,Complete,,,,,,,
Punjab FC,29:28:00,11,Thongbam Singh,Offensive Duel,106,67,0,0,,Won,,,,,TRUE,,
Punjab FC,29:31:00,11,Thongbam Singh,Cross,110,66,110,66,Right,Blocked,,,,,,,
Punjab FC,29:44:00,6,Khuraijam Meetei,Pass,64,44,38,30,,Complete,,,,,,,
Punjab FC,29:48:00,4,Shubham Poonia,Long Kick,37,34,98,69,,Complete,,,,,,,
Punjab FC,29:53:00,11,Thongbam Singh,LBD,97,68,0,0,,,,,,,,,
Punjab FC,30:02:00,18,Naorem Singh,Head Pass,75,68,90,61,,Incomplete,,,,,,,
Punjab FC,30:06:00,6,Khuraijam Meetei,LBD,84,54,0,0,,,,,,,,,
Punjab FC,30:21:00,5,Suraj Murmu,Head Pass,48,11,69,14,,Incomplete,,,,,,,
Punjab FC,30:30:00,18,Naorem Singh,Offensive Duel,65,51,0,0,,,,,,,,,
Punjab FC,30:33:00,11,Thongbam Singh,Defensive Duel,82,59,0,0,,,,,,,,,
Punjab FC,30:38:00,6,Khuraijam Meetei,LBD,45,60,0,0,,,,,,,,,
Punjab FC,30:41:00,18,Naorem Singh,Defensive Duel,47,57,0,0,,,,,,,,,
Punjab FC,30:42:00,6,Khuraijam Meetei,Pass,48,52,31,51,,Complete,,,,,,,
Punjab FC,30:43:00,3,Telem Singh,Long Kick,30,57,90,43,,,,,,TRUE,,,
Punjab FC,31:09:00,3,Telem Singh,Long Kick,11,66,33,76,,,,,,TRUE,,,
Punjab FC,31:21:00,3,Telem Singh,Pass,18,67,9,74,,,,,,TRUE,,,
Punjab FC,31:38:00,3,Telem Singh,Air Duel,10,58,0,0,,Won,,,,,,,
Punjab FC,32:01:00,4,Shubham Poonia,Free Kick,15,44,15,44,,,,,,,,,
Punjab FC,34:23:00,8,Samuel Hakoip,Pass,42,28,27,34,,Complete,,,,,,,
Punjab FC,34:24:00,4,Shubham Poonia,Pass,30,33,28,15,,Complete,,,,,,,
Punjab FC,34:36:00,4,Shubham Poonia,Long Kick,15,26,40,66,,Complete,,,,,,,
Punjab FC,34:39:00,18,Naorem Singh,Pass,46,63,86,67,,Complete,,,,,,,
Punjab FC,34:42:00,11,Thongbam Singh,Pass,90,63,104,54,,Complete,,,,,,,
Punjab FC,34:50:00,18,Naorem Singh,Defensive Duel,84,62,0,0,,Won,,,,,,,
Punjab FC,35:38:00,1,Aadil,Long Kick,6,43,41,60,,Incomplete,,,,,,,
Punjab FC,35:51:00,9,Gunleiba Wangkheirakpam,Pressure,95,51,0,0,,,,,,,,,
Punjab FC,37:14:00,4,Shubham Poonia,Shot,104,50,104,50,Header,Saved,,,,,,,Top right
Punjab FC,37:30:00,11,Thongbam Singh,Pressure,82,64,0,0,,,,,,,,,
Punjab FC,37:32:00,11,Thongbam Singh,Defensive Duel,86,63,0,0,,,,,,,,,
Punjab FC,37:38:00,18,Naorem Singh,Pass,60,67,71,65,,Incomplete,,,,,,,
Punjab FC,37:47:00,18,Naorem Singh,Throw In,65,74,65,74,,,,,,,,,
Punjab FC,37:51:00,3,Telem Singh,Offensive Duel,44,57,0,0,,Won,,,,,,,
Punjab FC,37:52:00,3,Telem Singh,Pass,47,59,81,52,,Complete,,,,,,,
Punjab FC,37:56:00,14,Wangkheirakpam Meitei,Touch,84,45,0,0,,Bad,,,,,,,
Punjab FC,37:57:00,14,Wangkheirakpam Meitei,LBD,75,42,0,0,,,,,,,,,
Punjab FC,38:12:00,18,Naorem Singh,Pass,32,75,33,54,,Complete,,,,,,,
Punjab FC,38:17:00,8,Samuel Hakoip,Pass,37,32,24,21,,Complete,,,,,,,
Punjab FC,38:20:00,5,Suraj Murmu,Pass,36,11,25,19,,Complete,,,,,,,
Punjab FC,38:24:00,4,Shubham Poonia,Pass,25,25,40,55,,Incomplete,,,,,,,
Punjab FC,38:28:00,18,Naorem Singh,Air Duel,33,58,0,0,,Lost,,,,,,,
Punjab FC,38:55:00,1,Aadil,Goal Kick,8,33,8,33,,,,,,,,,
Punjab FC,39:39:00,4,Shubham Poonia,LBD,37,12,0,0,,,,,,,,,
Punjab FC,39:40:00,6,Khuraijam Meetei,Pass,28,27,25,48,,Complete,,,,,,,
Punjab FC,39:42:00,3,Telem Singh,Pass,33,48,24,22,,Complete,,,,,,,
Punjab FC,39:46:00,4,Shubham Poonia,Long Kick,26,17,43,60,,Complete,,,,,,,
Punjab FC,39:49:00,18,Naorem Singh,Pass,43,63,45,46,,Complete,,,,,,,
Punjab FC,39:51:00,14,Wangkheirakpam Meitei,Long Kick,44,48,85,75,,Complete,,,,,,,
Punjab FC,39:55:00,22,Mahesh Meitei,Pass,77,69,109,57,,Complete,,,,,,,
Punjab FC,40:00:00,9,Gunleiba Wangkheirakpam,Pass,106,72,84,57,,Incomplete,,,,,,,
Punjab FC,40:03:00,3,Telem Singh,Defensive Duel,66,57,0,0,,Lost,,,,,,,
Punjab FC,40:05:00,3,Telem Singh,Foul,65,55,0,0,,,,,,,,,
Punjab FC,40:40:00,8,Samuel Hakoip,Long Kick,30,29,69,61,,Complete,,,,,,,
Punjab FC,40:44:00,11,Thongbam Singh,Touch,67,60,0,0,,Bad,,,,,,,
Punjab FC,41:09:00,4,Shubham Poonia,Goal Kick,8,31,8,31,,,,,,,,,
Punjab FC,41:16:00,18,Naorem Singh,Long Kick,37,71,91,44,,Complete,,TRUE,TRUE,,,,
Punjab FC,41:20:00,9,Gunleiba Wangkheirakpam,Shot,89,36,89,36,Right,Goal,,,,,,,Middle
Punjab FC,43:08:00,22,Mahesh Meitei,Offensive Duel,50,11,0,0,,,,,,,,,
Punjab FC,43:42:00,8,Samuel Hakoip,Long Kick,16,31,36,32,,,,,,TRUE,,,
Punjab FC,44:05:00,4,Shubham Poonia,Goal Kick,8,33,8,33,,,,,,,,,
Punjab FC,44:22:00,18,Naorem Singh,Throw In,39,76,39,76,,,,,,,,,
Punjab FC,44:29:00,3,Telem Singh,Long Kick,25,65,88,50,,,,,TRUE,,,,
Punjab FC,44:32:00,11,Thongbam Singh,LBD,83,43,0,0,,,,,,,,,
Punjab FC,44:33:00,11,Thongbam Singh,LBD,93,50,0,0,,,,,,,,,
Punjab FC,45:29:00,6,Khuraijam Meetei,Defensive Duel,77,46,0,0,,,,,,,,,
Punjab FC,45:32:00,6,Khuraijam Meetei,Foul,78,50,0,0,,,,,,,,,
Punjab FC,46:41:00,4,Shubham Poonia,Free Kick,26,12,26,12,,,,,,,,,
Punjab FC,46:46:00,1,Aadil,Long Kick,13,48,35,70,,Complete,,,,,,,
Punjab FC,46:52:00,18,Naorem Singh,Pass,34,68,53,75,,Complete,,,,,,,
Punjab FC,46:54:00,22,Mahesh Meitei,Offensive Duel,91,73,0,0,,,,,,,,,
Punjab FC,47:08:00,18,Naorem Singh,Head Pass,61,64,67,53,,Incomplete,,,,,,,
Punjab FC,47:09:00,14,Wangkheirakpam Meitei,LBD,67,52,0,0,,,,,,,,,
Punjab FC,47:12:00,18,Naorem Singh,Defensive Duel,48,59,0,0,,,,,,,,,
Punjab FC,47:14:00,18,Naorem Singh,Defensive Duel,46,72,0,0,,,,,,,,,
Punjab FC,47:33:00,3,Telem Singh,Pass,13,64,11,69,,Incomplete,,,,,,,
Punjab FC,47:35:00,18,Naorem Singh,Defensive Duel,6,72,0,0,,,,,,,,,
Punjab FC,47:53:00,22,Mahesh Meitei,Carry,19,70,44,62,,,,,,,,,
Punjab FC,47:56:00,22,Mahesh Meitei,Pass,45,57,55,68,,Complete,,,,,,,
Punjab FC,48:00:00,9,Gunleiba Wangkheirakpam,Pass,40,67,42,50,,Complete,,,,,,,
Punjab FC,48:02:00,6,Khuraijam Meetei,Touch,43,49,0,0,,Bad,,,,,,,
Punjab FC,48:49:00,3,Telem Singh,Long Kick,11,59,27,66,,,,,,TRUE,,,
Punjab FC,49:08:00,4,Shubham Poonia,Goal Kick,8,33,8,33,,,,,,,,,
Punjab FC,49:17:00,22,Mahesh Meitei,Pressure,98,73,0,0,,,,,,,,,
Punjab FC,49:19:00,22,Mahesh Meitei,LBD,90,74,0,0,,,,,,,,,
Punjab FC,50:38:00,18,Naorem Singh,Throw In,84,75,84,75,,,,,,,,,
Punjab FC,50:39:00,14,Wangkheirakpam Meitei,Head Pass,92,54,109,59,,Incomplete,,,,,,,
Punjab FC,51:03:00,4,Shubham Poonia,Long Kick,26,27,55,18,,Incomplete,,,,,,,
Punjab FC,51:24:00,18,Naorem Singh,Long Kick,24,57,85,46,,Incomplete,,,TRUE,,,,
Punjab FC,51:34:00,22,Mahesh Meitei,Defensive Duel,90,65,0,0,,,,,,,,,
Punjab FC,51:37:00,14,Wangkheirakpam Meitei,Pass,83,58,67,60,,Complete,,,,,,,
Punjab FC,51:39:00,18,Naorem Singh,Pass,64,60,71,55,,Incomplete,,,,,,,
Punjab FC,51:48:00,3,Telem Singh,Pass,8,58,8,74,,,,,,TRUE,,,
Punjab FC,51:46:00,3,Telem Singh,Defensive Duel,17,65,0,0,,Won,,,,,,,
Punjab FC,52:14:00,3,Telem Singh,Pass,15,47,26,70,,,,,,TRUE,,,
Punjab FC,53:02:00,8,Samuel Haokip,Long Kick,35,31,69,17,,Incomplete,,,,,,,
Punjab FC,53:08:00,11,Thogbam singh,Pressure,89,8,0,0,,,,,,,,,
Punjab FC,53:17:00,5,Suraj Murmu,Defensive Duel,52,11,0,0,,,,,,,,,
Punjab FC,53:32:00,4,Shubham Poonia,Defensive Duel,7,9,0,0,,Won,,,,,,,
Punjab FC,54:23:00,11,Thogbam singh,Pass,18,12,43,13,,Incomplete,,,,,,,
