Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva,41:11:00,12,R Aarya Krishna,Long Kick,72,15,105,79,,Incomplete,,,,,,,
Sudeva,41:29:00,7,Oinam Nirmal Meitei,Defensive Duel,87,75,0,0,,Lost,,,,,TRUE,,
Sudeva,41:44:00,11,Mayengbam Lanchenba Luwang,Interception,18,27,0,0,,,,,,,,,
Sudeva,42:11:00,4,Moirangthem Manithoiba Meitei,Defensive Duel,23,73,0,0,,Won,,,,,,,
Sudeva,42:29:00,21,Samir Thapa,Goal Kick,7,43,8,60,,,,,,,,,
Sudeva,42:32:00,2,Sagar Patra,Long Kick,9,60,29,75,,Complete,,,,,,,
Sudeva,42:40:00,4,Moirangthem Manithoiba Meitei,Defensive Duel,18,70,0,0,,Lost,,,,,,,
Sudeva,42:47:00,4,Moirangthem Manithoiba Meitei,LBD,8,71,0,0,,Won,,,,,,,
Sudeva,43:15:00,15,Pukar Dulal,Interception,16,52,0,0,,,,,,,,,
Sudeva,43:17:00,20,Eddie Zothanmawia ,Pass,14,58,30,51,,Complete,,,,,,,
Sudeva,43:18:00,7,Oinam Nirmal Meitei,Touch,27,53,0,0,,Bad,,,,,,,
Sudeva,43:24:00,2,Sagar Patra,Pass,12,60,17,60,,Incomplete,,,,,,,
Sudeva,43:35:00,7,Oinam Nirmal Meitei,Pass,16,70,31,68,,,,,,TRUE,,,
Sudeva,43:55:00,2,Sagar Patra,Long Kick,26,67,118,70,,Incomplete,,,,,,,
Sudeva,44:35:00,4,Moirangthem Manithoiba Meitei,Throw In,75,79,80,72,,,,,,,,,
Sudeva,44:36:00,15,Pukar Dulal,Pass,79,66,87,69,,Incomplete,,,,,,,
Sudeva,44:40:00,20,Eddie Zothanmawia ,Defensive Duel,77,50,0,0,,Lost,,,,,,,
Sudeva,44:43:00,12,R Aarya Krishna,Defensive Duel,71,31,0,0,,Lost,,,,,TRUE,,
Sudeva,44:56:00,2,Sagar Patra,Defensive Duel,30,45,0,0,,Lost,,,,,TRUE,,
Sudeva,44:59:00,21,Samir Thapa,Save,3,42,0,0,Right,Goal,,,,,,,Top left
Sudeva,45:28:00,20,Eddie Zothanmawia ,Pass,59,40,54,38,,Complete,,,,,,,
Sudeva,45:31:00,15,Pukar Dulal,Pass,53,41,40,49,,Complete,,,,,,,
Sudeva,45:33:00,26,Longjam Christson Singh,Pass,38,50,44,38,,Complete,,,,,,,
Sudeva,45:35:00,11,Mayengbam Lanchenba Luwang,Pass,43,34,34,48,,Incomplete,,,,,,,
Sudeva,45:37:00,25,Leishangthem Donaroy Singh,Pass,33,36,34,52,,Complete,,,,,,,
Sudeva,45:39:00,2,Sagar Patra,Pass,30,59,40,61,,Incomplete,,,,,,,
Sudeva,45:44:00,7,Oinam Nirmal Meitei,Defensive Duel,34,64,0,0,,Lost,,,,,,,
Sudeva,45:47:00,26,Longjam Christson Singh,Defensive Duel,31,57,0,0,,Lost,,,,,,,
Sudeva,45:47:00,15,Pukar Dulal,Defensive Duel,31,53,0,0,,Lost,,,,,,,
Sudeva,46:17:00,21,Samir Thapa,Goal Kick,7,49,42,76,,,,,,,,,
Sudeva,46:23:00,2,Sagar Patra,Defensive Duel,28,69,0,0,,Lost,,,,,,,
Sudeva,46:30:00,12,R Aarya Krishna,Defensive Duel,36,30,0,0,,Lost,,,,,,,
Sudeva,46:32:00,12,R Aarya Krishna,Defensive Duel,35,32,0,0,,Lost,,,,,TRUE,,
Sudeva,46:33:00,6,Irfan Ahmad Mir,LBD,23,23,0,0,,Lost,,,,,,,
Sudeva,46:38:00,6,Irfan Ahmad Mir,Long Kick,18,10,51,24,,,,,,TRUE,,,
Sudeva,46:49:00,2,Sagar Patra,Offensive Duel,24,58,0,0,,Won,,,,,,,
Sudeva,46:51:00,2,Sagar Patra,Pass,26,60,42,58,,Incomplete,,,,,,,
Sudeva,46:56:00,2,Sagar Patra,Interception,22,51,0,0,,,,,,,,,
Sudeva,47:00:00,2,Sagar Patra,Pass,22,47,51,32,,Complete,,,,TRUE,,,
Sudeva,47:23:00,6,Irfan Ahmad Mir,Defensive Duel,27,13,0,0,,Lost,,,,,TRUE,,
Sudeva,47:25:00,2,Sagar Patra,Defensive Duel,17,30,0,0,,Lost,,,,,TRUE,,
Sudeva,47:52:00,25,Leishangthem Donaroy Singh,Free Kick,19,23,32,21,,,,,,,,,
Sudeva,47:54:00,11,Mayengbam Lanchenba Luwang,Pass,31,22,18,20,,Complete,,,,,,,
Sudeva,47:57:00,25,Leishangthem Donaroy Singh,Pass,16,21,33,19,,Complete,,,,,,,
Sudeva,47:58:00,11,Mayengbam Lanchenba Luwang,Pass,32,22,33,34,,Complete,,,,,,,
Sudeva,48:01:00,26,Longjam Christson Singh,Pass,36,36,45,30,,Complete,,,,,,,
Sudeva,48:02:00,15,Pukar Dulal,Pass,45,32,39,25,,Complete,,,,,,,
Sudeva,48:03:00,11,Mayengbam Lanchenba Luwang,Long Kick,40,26,53,12,,Complete,,,,,,,
Sudeva,48:04:00,12,R Aarya Krishna,Touch,54,15,0,0,,Bad,,,,,,,
Sudeva,48:10:00,12,R Aarya Krishna,Defensive Duel,52,13,0,0,,Lost,,,,,,,
Sudeva,48:18:00,12,R Aarya Krishna,Pass,65,13,49,26,,Complete,,,,,,,
Sudeva,48:19:00,11,Mayengbam Lanchenba Luwang,Pass,49,23,45,7,,Complete,,,,,,,
Sudeva,48:24:00,6,Irfan Ahmad Mir,Pass,44,5,46,19,,Complete,,,,,,,
Sudeva,48:26:00,11,Mayengbam Lanchenba Luwang,Pass,48,16,70,14,,Complete,,,,,,,
Sudeva,48:27:00,15,Pukar Dulal,Offensive Duel,66,12,0,0,,Lost,,,,,,,
Sudeva,48:30:00,15,Pukar Dulal,Long Kick,68,20,111,64,,Complete,,,,,,,
Sudeva,48:37:00,7,Oinam Nirmal Meitei,Offensive Duel,112,66,0,0,,Won,,,,,,,
Sudeva,48:38:00,7,Oinam Nirmal Meitei,Offensive Duel,109,63,0,0,,Won,,,,,TRUE,,
Sudeva,48:40:00,7,Oinam Nirmal Meitei,Shot,106,54,112,39,Left,Off Target,,,,,,,
Sudeva,49:11:00,25,Leishangthem Donaroy Singh,Pass,25,40,50,48,,Incomplete,,,,,,,
Sudeva,49:22:00,26,Longjam Christson Singh,Defensive Duel,32,65,0,0,,Lost,,,,,,,
Sudeva,50:21:00,21,Samir Thapa,Goal Kick,6,49,52,68,,,,,,,,,
Sudeva,50:13:00,26,Longjam Christson Singh,Subbed Out,56,78,0,0,,,,,,,,,
Sudeva,50:39:00,2,Sagar Patra,Head Pass,10,48,37,53,,Complete,,,,TRUE,,,
Sudeva,50:47:00,4,Moirangthem Manithoiba Meitei,Defensive Duel,12,70,0,0,,Lost,,,,,,,
