Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva Delhi FC,14:51,16,Dikshit Rai ,Defensive Duel,39,16,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,14:52,16,Dikshit Rai ,Foul,43,17,0,0,,,,,,,,,
Sudeva Delhi FC,16:20,21,Macdonnish Ngairangbam ,Save,3,40,0,0,Right,Saved,,,,,,,
Sudeva Delhi FC,16:21,26,Loushambam Nara Meitei,Pass,6,44,24,36,,Complete,,,,,,,
Sudeva Delhi FC,16:22,17,Heikham Lineker Singh,Long Kick,21,38,117,68,,,,,,true,,,
Sudeva Delhi FC,17:41,9,Asem Rahulkumar Singh,Free Kick,102,46,102,35,,,,true,,,,,
Sudeva Delhi FC,17:41,26,Loushambam Nara Meitei,Shot,103,37,118,38,Right,Goal,,,,,,,Left
Sudeva Delhi FC,17:57,24,Debasish Borgohain ,Pressure,95,18,0,0,,,,,,,,,
Sudeva Delhi FC,17:59,17,Heikham Lineker Singh,Pressure,79,34,0,0,,,,,,,,,
Sudeva Delhi FC,18:15,21,Macdonnish Ngairangbam ,Goal Kick,13,37,14,72,,,,,,,,,
Sudeva Delhi FC,18:18,26,Loushambam Nara Meitei,Long Kick,15,75,64,29,,Incomplete,,,,,,,
Sudeva Delhi FC,18:21,17,Heikham Lineker Singh,Defensive Duel,52,33,0,0,,Won,,,,,true,,
Sudeva Delhi FC,18:23,17,Heikham Lineker Singh,Shot,65,35,117,38,Right,Saved,,,,,,,Bottom left
Sudeva Delhi FC,18:29,9,Asem Rahulkumar Singh,Pressure,104,10,0,0,,,,,,,,,
Sudeva Delhi FC,18:29,9,Asem Rahulkumar Singh,Interception,104,8,0,0,,,,,,,,,
Sudeva Delhi FC,18:40,16,Dikshit Rai ,Air Duel,48,7,0,0,,Won,,,,,,,
Sudeva Delhi FC,18:42,17,Heikham Lineker Singh,Defensive Duel,38,19,0,0,,Won,,,,,true,,
Sudeva Delhi FC,18:43,9,Asem Rahulkumar Singh,Pass,32,17,40,28,,Complete,,,,,,,
Sudeva Delhi FC,18:43,17,Heikham Lineker Singh,Touch,40,31,0,0,,,,,,,,,
Sudeva Delhi FC,18:44,24,Debasish Borgohain ,Pass,43,40,48,23,,Complete,,,,,,,
Sudeva Delhi FC,18:45,9,Asem Rahulkumar Singh,Pass,47,18,62,61,,Complete,,,,,,,
Sudeva Delhi FC,18:47,11,Langam Ratip Meitei,Pass,64,58,73,30,,Incomplete,,,true,,,,
Sudeva Delhi FC,18:49,17,Heikham Lineker Singh,Touch,56,33,0,0,,Bad,,,,,,,
Sudeva Delhi FC,18:51,17,Heikham Lineker Singh,Defensive Duel,69,30,0,0,,Won,,,,,true,,
Sudeva Delhi FC,18:51,17,Heikham Lineker Singh,Offensive Duel,69,26,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,18:54,11,Langam Ratip Meitei,LBD,64,39,0,0,,Won,,,,,,,
Sudeva Delhi FC,18:54,24,Debasish Borgohain ,LBD,63,41,0,0,,Won,,,,,,,
Sudeva Delhi FC,18:57,24,Debasish Borgohain ,Offensive Duel,65,42,0,0,,Won,,,,,true,,
Sudeva Delhi FC,18:58,24,Debasish Borgohain ,Pass,67,39,77,13,,Complete,,,,,,,
Sudeva Delhi FC,18:59,9,Asem Rahulkumar Singh,Shot,72,18,117,40,Left,Saved,,,,,,,Top
Sudeva Delhi FC,19:12,11,Langam Ratip Meitei,Defensive Duel,115,63,0,0,,Lost,,,,,,,
Sudeva Delhi FC,19:24,21,Macdonnish Ngairangbam ,Hand Pass,8,41,53,52,,Incomplete,,,,,,,
Sudeva Delhi FC,19:26,17,Heikham Lineker Singh,Air Duel,47,38,0,0,,Lost,,,,,,,
Sudeva Delhi FC,19:28,16,Dikshit Rai ,Defensive Duel,42,17,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,19:29,16,Dikshit Rai ,Foul,42,20,0,0,,Yellow Card,,,,,,,
Sudeva Delhi FC,20:32,11,Langam Ratip Meitei,Interception,9,43,0,0,,,,,,,,,
Sudeva Delhi FC,20:47,26,Loushambam Nara Meitei,Long Kick,15,35,44,77,,,,,,true,,,
Sudeva Delhi FC,21:01,17,Heikham Lineker Singh,Air Duel,12,40,0,0,,Lost,,,,,,,
Sudeva Delhi FC,21:01,11,Langam Ratip Meitei,Air Duel,11,39,0,0,,Lost,,,,,,,
Sudeva Delhi FC,21:13,21,Macdonnish Ngairangbam ,Goal Kick,14,38,9,17,,,,,,,,,
Sudeva Delhi FC,21:14,16,Dikshit Rai ,Long Kick,10,18,118,28,,Complete,,,true,,,,
Sudeva Delhi FC,21:32,16,Dikshit Rai ,Interception,64,13,0,0,,,,,,,,,
Sudeva Delhi FC,21:50,9,Asem Rahulkumar Singh,Head Pass,23,24,40,78,,,,,,true,,,
Sudeva Delhi FC,22:08,9,Asem Rahulkumar Singh,Air Duel,11,52,0,0,,Lost,,,,,,,
Sudeva Delhi FC,22:09,16,Dikshit Rai ,Pass,7,35,22,25,,Complete,,,,true,,,
Sudeva Delhi FC,22:11,21,Macdonnish Ngairangbam ,Save,3,40,0,0,Right,Goal,,,,,,,Bottom left
Sudeva Delhi FC,22:27,24,Debasish Borgohain ,Pass,59,40,47,33,,Complete,,,,,,,
Sudeva Delhi FC,22:28,17,Heikham Lineker Singh,Shot,46,36,119,44,Right,Off Target,,,,,,,
Sudeva Delhi FC,22:52,21,Macdonnish Ngairangbam ,Hand Pass,5,38,34,4,,Complete,,,,,,,
Sudeva Delhi FC,22:54,16,Dikshit Rai ,Pass,36,5,49,24,,Incomplete,,,,,,,
Sudeva Delhi FC,23:08,21,Macdonnish Ngairangbam ,Goal Kick,9,38,51,23,,,,,,,,,
Sudeva Delhi FC,23:10,24,Debasish Borgohain ,Pass,47,29,37,1,,Incomplete,,,,,,,
Sudeva Delhi FC,23:26,11,Langam Ratip Meitei,Air Duel,10,39,0,0,,Won,,,,,,,
Sudeva Delhi FC,23:28,9,Asem Rahulkumar Singh,Long Kick,12,29,88,10,,Incomplete,,,,,,,
Sudeva Delhi FC,23:33,9,Asem Rahulkumar Singh,Interception,46,7,0,0,,,,,,true,,,
Sudeva Delhi FC,23:44,16,Dikshit Rai ,Defensive Duel,24,7,0,0,,Lost,,,,,,,
Sudeva Delhi FC,23:46,9,Asem Rahulkumar Singh,Defensive Duel,27,5,0,0,,Lost,,,,,,,
Sudeva Delhi FC,24:24,26,Loushambam Nara Meitei,Throw In,22,79,46,61,,,,,,,,,
Sudeva Delhi FC,24:27,9,Asem Rahulkumar Singh,Pass,55,25,96,55,,Complete,,,,,,,
Sudeva Delhi FC,24:30,11,Langam Ratip Meitei,Head Pass,98,60,107,37,,Incomplete,,,,,,,
Sudeva Delhi FC,24:31,24,Debasish Borgohain ,LBD,107,41,0,0,,Lost,,,,,,,
Sudeva Delhi FC,24:31,24,Debasish Borgohain ,Foul,111,43,0,0,,Red Card,,,,,,,
Sudeva Delhi FC,28:03,21,Macdonnish Ngairangbam ,Goal Kick,12,44,44,58,,,,,,,,,
Sudeva Delhi FC,28:15,21,Macdonnish Ngairangbam ,Goal Kick,15,47,7,20,,,,,,,,,
Sudeva Delhi FC,28:17,16,Dikshit Rai ,Long Kick,9,24,119,50,,Incomplete,,,true,,,,
Sudeva Delhi FC,28:27,9,Asem Rahulkumar Singh,Pressure,103,23,0,0,,,,,,,,,
Sudeva Delhi FC,28:33,17,Heikham Lineker Singh,Defensive Duel,33,4,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,28:35,11,Langam Ratip Meitei,Defensive Duel,35,14,0,0,,Won,,,,,true,,
Sudeva Delhi FC,28:38,17,Heikham Lineker Singh,Offensive Duel,21,9,0,0,,Lost,,,,,,,
Sudeva Delhi FC,28:58,21,Macdonnish Ngairangbam ,Goal Kick,12,33,43,5,,,,,,,,,
Sudeva Delhi FC,28:59,9,Asem Rahulkumar Singh,Long Kick,38,7,70,10,,Incomplete,,,,,,,
Sudeva Delhi FC,29:02,17,Heikham Lineker Singh,LBD,69,13,0,0,,Lost,,,,,,,
Sudeva Delhi FC,29:07,26,Loushambam Nara Meitei,Interception,50,69,0,0,,,,,,,,,
Sudeva Delhi FC,29:08,26,Loushambam Nara Meitei,LBD,54,69,0,0,,Lost,,,,,,,
Sudeva Delhi FC,29:09,11,Langam Ratip Meitei,Pass,49,68,52,73,,Complete,,,,,,,
Sudeva Delhi FC,29:12,26,Loushambam Nara Meitei,Shot,74,74,116,33,Right,Off Target,,,,,,,
Sudeva Delhi FC,29:42,26,Loushambam Nara Meitei,Throw In,23,77,65,68,,,,,,,,,
Sudeva Delhi FC,29:43,11,Langam Ratip Meitei,Air Duel,69,60,0,0,,Lost,,,,,,,
Sudeva Delhi FC,29:47,16,Dikshit Rai ,Pass,20,26,13,2,,,,,,true,,,
Sudeva Delhi FC,30:09,9,Asem Rahulkumar Singh,Air Duel,7,36,0,0,,Lost,,,,,,,
Sudeva Delhi FC,30:17,11,Langam Ratip Meitei,Pass,66,56,87,8,,Complete,,,,,,,
Sudeva Delhi FC,30:21,9,Asem Rahulkumar Singh,Offensive Duel,87,7,0,0,,Won,,,,,,,
Sudeva Delhi FC,30:29,26,Loushambam Nara Meitei,Interception,18,26,0,0,,,,,,,,,
Sudeva Delhi FC,30:45,16,Dikshit Rai ,LBD,13,40,0,0,,Won,,,,,,,
Sudeva Delhi FC,31:21,26,Loushambam Nara Meitei,Interception,34,55,0,0,,,,,,,,,
Sudeva Delhi FC,31:24,26,Loushambam Nara Meitei,Pass,51,59,82,78,,Incomplete,,,,,,,
Sudeva Delhi FC,31:38,26,Loushambam Nara Meitei,Pressure,43,72,0,0,,,,,,,,,
Sudeva Delhi FC,31:39,17,Heikham Lineker Singh,Pass,31,58,85,7,,Incomplete,,,,,,,
Sudeva Delhi FC,31:48,21,Macdonnish Ngairangbam ,Air Duel,11,47,0,0,,Won,,,,,,,
Sudeva Delhi FC,31:50,17,Heikham Lineker Singh,Head Pass,32,36,41,56,,Complete,,,,,,,
Sudeva Delhi FC,31:51,11,Langam Ratip Meitei,Head Pass,49,59,57,36,,Complete,,,,,,,
Sudeva Delhi FC,31:52,17,Heikham Lineker Singh,Long Kick,63,37,116,73,,Complete,,,,,,,
Sudeva Delhi FC,31:56,11,Langam Ratip Meitei,LBD,115,73,0,0,,Lost,,,,,,,
Sudeva Delhi FC,32:33,11,Langam Ratip Meitei,Pressure,88,61,0,0,,,,,,,,,
Sudeva Delhi FC,32:35,16,Dikshit Rai ,Air Duel,40,11,0,0,,Lost,,,,,,,
Sudeva Delhi FC,32:38,26,Loushambam Nara Meitei,Pass,29,21,29,1,,Complete,,,,true,,,
Sudeva Delhi FC,32:55,17,Heikham Lineker Singh,Air Duel,11,28,0,0,,Won,,,,,,,
Sudeva Delhi FC,32:55,21,Macdonnish Ngairangbam ,Air Duel,9,32,0,0,,Won,,,,,,,
Sudeva Delhi FC,33:11,21,Macdonnish Ngairangbam ,Goal Kick,14,38,7,20,,,,,,,,,
Sudeva Delhi FC,33:12,16,Dikshit Rai ,Long Kick,6,23,83,15,,Complete,,,,,,,
Sudeva Delhi FC,33:14,17,Heikham Lineker Singh,Touch,81,23,0,0,,Bad,,,,,,,
Sudeva Delhi FC,33:15,17,Heikham Lineker Singh,Defensive Duel,85,15,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,33:20,16,Dikshit Rai ,Interception,36,8,0,0,,,,,,,,,
Sudeva Delhi FC,33:21,16,Dikshit Rai ,Defensive Duel,47,10,0,0,,Lost,,,,,,,
Sudeva Delhi FC,33:22,16,Dikshit Rai ,Foul,38,10,0,0,,,,,,,,,
Sudeva Delhi FC,33:37,9,Asem Rahulkumar Singh,Interception,41,15,0,0,,,,,,,,,
Sudeva Delhi FC,33:53,9,Asem Rahulkumar Singh,Air Duel,18,28,0,0,,Won,,,,,,,
Sudeva Delhi FC,34:09,21,Macdonnish Ngairangbam ,Goal Kick,13,40,6,21,,,,,,,,,
Sudeva Delhi FC,34:10,16,Dikshit Rai ,Long Kick,8,21,59,39,,Incomplete,,,,,,,
Sudeva Delhi FC,34:16,26,Loushambam Nara Meitei,Head Pass,18,47,22,38,,Incomplete,,,,,,,
